newid,ln_spending,ln_income,weights
03668924,8,10,12545
03668984,10,11,6328
03669014,11,11,6513
03669054,10,11,2269
03669064,9,12,14079
03669074,9,12,10975
03669104,9,10,5424
03669164,12,10,12200
03669194,10,8,8120
03669204,10,11,10972
03669254,10,10,11956
03669274,9,11,20347
03669294,12,12,7474
03669314,8,10,7978
03669344,11,11,7656
03669354,8,10,12590
03669374,11,11,10392
03669394,9,11,14745
03669414,8,10,5368
03669434,8,10,9487
03669454,11,11,9962
03669514,10,10,9662
03669544,11,12,13578
03669594,11,11,9961
03669644,11,11,10701
03669674,8,10,7301
03669684,11,11,12461
03669704,9,11,10623
03669724,11,11,2650
03669744,8,11,10425
03669754,8,10,9062
03669764,10,11,10042
03669774,9,10,9788
03669824,8,8,8600
03669854,10,11,13466
03669874,9,10,10605
03669894,11,10,13743
03669924,11,12,9793
03669944,10,10,7308
03669964,11,10,10223
03670014,11,12,6548
03670034,9,11,9499
03670054,8,8,12998
03670064,11,11,10609
03670074,9,11,9248
03670084,11,10,7034
03670094,10,10,7624
03670124,10,10,10055
03670154,11,11,15347
03670164,9,11,12488
03670194,10,11,12110
03670214,11,12,8259
03670224,11,11,9697
03670254,10,12,10845
03670264,10,11,4542
03670284,11,11,11125
03670334,11,11,8407
03670344,7,9,5537
03670354,11,10,11221
03670364,11,11,9611
03670384,11,11,7896
03670394,10,10,12902
03670414,9,10,12927
03670424,10,11,6463
03670464,8,9,12295
03670474,10,9,13196
03670484,11,11,8324
03670504,8,10,7109
03670514,11,8,13304
03670524,10,11,17124
03670554,11,11,10515
03670584,10,9,13662
03670674,12,12,10420
03670704,9,10,8097
03670724,11,10,11584
03670754,12,11,12876
03670784,11,10,7651
03670804,11,11,9078
03670814,11,11,1179
03670844,8,9,26343
03670854,7,9,9334
03670874,9,11,11287
03670884,8,10,17387
03670954,9,11,11460
03670984,10,11,12849
03671004,10,10,12105
03671014,11,12,10072
03671044,11,11,11817
03671094,8,10,9868
03671114,10,9,6049
03671124,11,12,14503
03671134,10,10,10336
03671154,11,10,7813
03671184,9,12,10186
03671204,12,12,10332
03671224,8,10,11059
03671254,11,11,10246
03671264,8,10,11582
03671274,11,10,12576
03671294,10,10,13426
03671304,11,10,10956
03671324,11,11,10266
03671334,11,10,13092
03692164,12,12,13486
03692174,8,5,10454
03692204,12,10,7051
03692234,9,11,7380
03692244,12,11,2689
03692264,11,11,10950
03692274,11,11,12848
03692304,9,9,8075
03692324,11,11,11124
03692394,11,10,10934
03692414,12,11,11093
03692424,11,11,9164
03692494,11,12,13412
03692524,12,12,11014
03692534,9,11,11315
03692584,11,11,14778
03692614,10,11,18247
03692704,12,11,15967
03692714,12,12,12807
03692734,12,11,9638
03692744,11,12,10367
03692754,11,12,9544
03692764,12,12,10917
03692774,9,11,12917
03692794,11,12,12086
03692804,11,11,9385
03692814,12,10,10874
03692824,9,9,7825
03692844,12,12,13187
03692854,8,9,9814
03692874,12,12,6121
03692904,11,11,19518
03692914,9,10,7985
03692934,9,11,8240
03692944,10,10,8767
03692974,9,11,21200
03692984,9,11,12284
03692994,11,10,8648
03693004,8,8,8374
03693044,11,,8179
03693064,12,12,1206
03693084,9,10,3468
03693094,10,11,10096
03693104,9,10,14941
03693134,11,10,9402
03693144,10,11,8164
03693154,10,12,10229
03693194,8,10,15397
03693214,11,11,5293
03693224,13,11,10649
03693244,13,12,8199
03693274,9,10,8911
03693294,11,11,8438
03693304,12,11,3778
03693354,11,11,12105
03693364,11,11,7712
03693374,12,11,11859
03693434,11,10,11011
03693474,9,9,12686
03693504,9,10,7112
03693514,11,11,10055
03693534,10,11,12095
03693554,9,11,11846
03693564,10,10,12161
03693594,10,11,10111
03693604,9,10,8424
03693614,10,11,11848
03693624,9,,20504
03693644,12,12,13280
03693664,9,10,13636
03693684,11,12,17103
03693694,11,10,11277
03693714,10,11,9099
03693724,9,10,12943
03693754,11,12,8959
03693764,11,11,15433
03693774,11,12,17845
03693784,10,12,6242
03693794,10,11,11511
03693804,11,11,12175
03693884,12,12,11366
03693894,10,11,10330
03693964,11,10,8922
03693984,11,12,7774
03693994,9,10,12738
03694014,9,11,15015
03694054,13,12,10183
03694094,10,9,12211
03694104,9,10,7373
03694114,9,11,10295
03694124,9,10,15452
03694134,9,10,18212
03694154,9,10,10353
03694214,10,10,8040
03694224,9,11,14745
03694294,12,12,11793
03694304,10,7,13464
03694314,10,10,20100
03694344,13,13,6939
03694384,11,11,13557
03694394,9,11,9584
03694434,12,,8225
03694444,9,10,10062
03694464,11,11,13374
03694474,11,10,12153
03694484,12,11,10015
03694504,9,11,10780
03694534,11,11,12543
03694544,11,11,9808
03694554,10,11,14340
03694564,11,11,11140
03694584,11,10,6289
03694604,8,9,9933
03694644,12,11,19842
03694654,12,10,9859
03694674,9,9,11108
03694684,12,11,9866
03694734,12,11,7008
03694784,13,11,26206
03694804,10,10,11586
03694814,12,10,12614
03694834,9,10,10592
03694854,11,11,10936
03694874,11,11,15108
03694884,11,12,12085
03694894,,11,3068
03694904,11,12,9559
03694934,11,11,11804
03694974,12,11,8564
03694994,12,11,11495
03695004,12,11,9361
03695014,10,8,9096
03695064,8,10,7985
03695094,12,12,12635
03695104,11,11,9753
03695114,11,12,9477
03695134,8,10,11280
03695194,12,10,10024
03695224,12,,9069
03695234,11,12,3445
03695244,12,11,7674
03695264,11,11,11164
03695274,10,11,13563
03695304,11,10,10500
03695324,11,12,10907
03695364,11,11,6266
03695374,8,9,10742
03695394,12,11,10581
03695414,10,10,11155
03695424,11,10,10193
03695474,9,10,9620
03695504,9,10,14020
03695514,12,10,11682
03695534,10,11,12321
03695594,11,10,6785
03695604,9,10,1392
03695634,9,10,9986
03695684,12,10,9147
03695704,12,11,8992
03695724,9,10,11210
03695764,11,11,12384
03695774,9,10,8348
03695784,9,11,12182
03695824,11,12,16690
03695834,9,10,6305
03695844,12,12,10862
03695864,8,8,6807
03695874,11,11,9440
03695894,10,11,14023
03695934,9,11,10128
03695974,10,11,17090
03696004,11,12,16003
03696014,11,11,12857
03696034,12,11,12796
03696044,11,,16408
03696074,12,11,14508
03696094,9,9,10281
03696114,10,11,7786
03696124,9,11,10147
03696174,11,11,10656
03696184,10,9,11402
03696194,9,10,6701
03696234,12,11,3280
03696244,12,12,19719
03696254,9,10,8551
03696284,11,11,14058
03696304,12,12,7257
03696324,10,10,17593
03696334,10,10,8973
03696354,9,8,14794
03696404,11,10,9459
03696454,10,11,10651
03696534,9,10,14131
03696554,11,11,5773
03696564,11,11,14346
03696574,8,9,7691
03696594,11,7,11415
03696614,13,11,12510
03696624,8,10,10241
03696634,11,11,6230
03696644,9,9,16606
03696664,11,12,9891
03696674,9,11,10541
03696684,12,12,8189
03696694,11,12,1420
03696704,9,11,9298
03696714,12,11,10020
03696744,10,10,9338
03696794,11,11,7998
03696804,8,10,11591
03696814,12,12,10790
03696864,10,11,11246
03696874,12,11,15950
03696894,8,9,8374
03696964,9,10,7741
03696974,10,9,11474
03697004,9,11,10822
03697014,11,11,14678
03697064,12,11,10381
03697074,10,10,7215
03697084,9,11,8551
03697094,11,11,10564
03697114,9,10,8335
03697124,11,11,7015
03697134,9,9,10111
03697154,9,10,9620
03697164,10,8,5793
03697174,11,11,10701
03697194,11,11,12063
03697224,9,11,12650
03697234,12,,12260
03697264,11,10,9645
03697284,11,10,10675
03697344,11,11,9018
03697354,11,11,9613
03697364,9,10,15126
03697414,9,9,10210
03697424,11,10,14069
03697454,11,11,4351
03697484,11,12,10532
03697504,12,12,17164
03697514,8,10,14390
03697524,10,12,13077
03697554,11,11,7763
03697584,12,11,10706
03697604,12,11,10168
03697624,12,12,14682
03697664,9,10,10382
03697674,11,12,12530
03697704,12,11,9719
03697784,9,8,11349
03697794,10,11,13585
03697804,11,,8744
03697864,9,11,9753
03697894,9,11,13464
03697904,11,11,17172
03698054,11,10,11307
03698094,9,11,15763
03698114,10,10,14773
03698144,10,12,8847
03698164,9,9,9802
03698174,11,12,11806
03698224,11,11,11155
03698234,13,13,16337
03698254,12,11,12761
03698264,10,10,9145
03698294,10,11,10802
